Ссылка на сайт поставщика/вендора,Ситилинк - Полное Наименование,PartNumber/Артикул Производителя,Бренд,Группа товаров,Модель,Код Товара
https://www.dell.com/en-uk/shop/dell-24-monitor-p2423/apd/210-bdfs/monitors-monitor-accessories#techspecs_section,"Монитор DELL P2423 24"", черный и серебристый [210-bdfs]",210-BDFS,DELL,Мониторы ЖК,P2423,1800484
https://www.dell.com/ru/business/p/dell-u2722d-monitor/pd,"Монитор DELL UltraSharp U2722D 27"", черный [210-ayuk]",210-AYUK,DELL,Мониторы ЖК,U2722D,1800485
https://www.dell.com/en-uk/shop/dell-24-monitor-p2423d/apd/210-bdeg/monitors-monitor-accessories#techspecs_section,"Монитор DELL P2423D 24"", черный и серебристый [210-bdeg]",210-BDEG,DELL,Мониторы ЖК,P2423D,1800488
https://www.dell.com/ru/business/p/dell-p2421-monitor/pd,"Монитор DELL P2421 23.8"", черный [210-awle]",210-AWLE,DELL,Мониторы ЖК,P2421,1800491
https://www.dell.com/en-uk/shop/dell-24-usb-c-hub-monitor-p2423de/apd/210-bddw/monitors-monitor-accessories#techspecs_section,"Монитор DELL P2423DE 24"", черный и серебристый [210-bddw]",210-BDDW,DELL,Мониторы ЖК,P2423DE,1800494
https://www.dell.com/ru-rs/shop/cty/pdp/spd/dell-p2421dc-monitor#tabs_section,"Монитор DELL P2421DC 23.8"", черный [210-avmg]",210-AVMG,DELL,Мониторы ЖК,P2421DC,1800498
https://www.dell.com/ru/business/p/dell-c2422he-monitor/pd?~ck=anav,"Монитор DELL C2422HE 23.8"", черный и серебристый [210-aylu]",210-AYLU,DELL,Мониторы ЖК,C2422HE,1800501
https://www.dell.com/en-uk/shop/dell-27-4k-usb-c-hub-monitor-p2723qe/apd/210-bdfz/monitors-monitor-accessories#techspecs_section,"Монитор DELL P2723QE 27"", черный и серебристый [210-bdfz]",210-BDFZ,DELL,Мониторы ЖК,P2723QE,1800837
https://www.dell.com/en-uk/shop/dell-27-monitor-p2723d/apd/210-bddx/monitors-monitor-accessories#techspecs_section,"Монитор DELL P2723D 27"", черный и серебристый [210-bddx]",210-BDDX,DELL,Мониторы ЖК,P2723D,1800842
https://www.dell.com/en-uk/shop/dell-27-usb-c-hub-monitor-p2723de/apd/210-bdeh/monitors-monitor-accessories#techspecs_section,"Монитор DELL P2723DE 27"", черный и серебристый [210-bdeh]",210-BDEH,DELL,Мониторы ЖК,P2723DE,1800843
https://www.dell.com/en-uk/shop/dell-32-usb-c-hub-monitor-p3223de/apd/210-bdgb/monitors-monitor-accessories#techspecs_section,"Монитор DELL P3223DE 32"", черный и серебристый [210-bdgb]",210-BDGB,DELL,Мониторы ЖК,P3223DE,1800844
https://www.acer.com/ru-ru/monitors/entertainment/sa0/pdp/UM.WS0EE.A01,"Монитор Acer SA220QBbix 21.5"", черный [um.ws0ee.b07]",UM.WS0EE.B07,ACER,Мониторы ЖК,SA220QBbix,1801321
https://aspirestore.ru/product/UM.HB2EE.001/harakteristiki/,"Монитор Acer CB272bmiprx 27"", черный [um.hb2ee.001]",UM.HB2EE.001,ACER,Мониторы ЖК,CB272bmiprx,1801442
https://www.hp.com/kz-ru/products/monitors/product-details/product-specifications/18164501,"Монитор HP EliteDisplay E243m 23.8"", серебристый [1fh48aa]",1FH48AA,HP,Мониторы ЖК,E243m,1805991
https://www.hp.com/kz-ru/products/monitors/product-details/18007203,"Монитор HP EliteDisplay E273m 27"", серебристый [1fh51aa]",1FH51AA,HP,Мониторы ЖК,E273m,1806002
https://www.dell.com/en-us/shop/dell-24-monitor-e2422hn/apd/210-bbwf/monitors-monitor-accessories,"Монитор DELL E2422HN 23.8"", черный [2422-7678]",2422-7678,DELL,Мониторы ЖК,E2422HN,1806616
https://digma.ru/catalog/item/21907,"Монитор Digma DM-MONB2709 27"", темно-серый",DM-MONB2709,DIGMA,Мониторы ЖК,DM-MONB2709,1807913
https://digma.ru/catalog/item/21908,"Монитор Digma Gaming DM-MONG2740 27"", темно-серый",DM-MONG2740,DIGMA,Мониторы ЖК,DM-MONG2740,1807915
https://www.acer.com/de-de/monitors/gaming/nitro-kg2/pdp/UM.HX2EE.022,"Монитор Acer Nitro KG272Ubmiipx 27"", черный и черный/синий [um.hx2ee.022]",UM.HX2EE.022,ACER,Мониторы ЖК,KG272Ubmiipx,1809350
https://ru.msi.com/Monitor/G2422/Specification,"Монитор MSI Optix G2422 23.8"", черный [9s6-3ba41t-205]",9S6-3BA41T-205,MSI,Мониторы ЖК,G2422,1812288
https://ru.msi.com/Business-Productivity-Monitor/PRO-MP273,"Монитор MSI Pro MP273 27"", черный [9s6-3pb4ch-021]",9S6-3PB4CH-021,MSI,Мониторы ЖК,MP273,1812291
https://ru.msi.com/Business-Productivity-Monitor/Modern-MD271P/Specification,"Монитор MSI Modern MD271P 27"", черный [9s6-3pa49h-096]",9S6-3PA49H-096,MSI,Мониторы ЖК,MD271P,1812292
https://www.mi.com/global/product/xiaomi-4k-monitor-27/specs,"Монитор Xiaomi XMMNT27NU 27"", черный [bhr5757gl]",BHR5757GL,XIAOMI,Мониторы ЖК,XMMNT27NU,1825107
https://www.asus.com/ru/Displays-Desktops/Monitors/Eye-Care/VC239HE-W/techspec/,"Монитор ASUS VC239HE-W 23"", белый [90lm01e2-b03470]",90LM01E2-B03470,ASUS,Мониторы ЖК,VC239HE-W,1828631
https://www.asus.com/Displays-Desktops/Monitors/Eye-Care/ASUS-VZ24EHE/,"Монитор ASUS VZ24EHE 23.8"", черный [90lm07c3-b01470(2470)]",90LM07C3-B01470(2470),ASUS,Мониторы ЖК,VZ24EHE,1828637
https://www.asus.com/Displays-Desktops/Monitors/Eye-Care/VP279HE/techspec/,"Монитор ASUS VP279HE 27"", черный [90lm01t0-b01170]",90LM01T0-B01170,ASUS,Мониторы ЖК,VP279HE,1828645
https://www.asus.com/ru/Displays-Desktops/Monitors/Eye-Care/VA24DQ/techspec/,"Монитор ASUS VA24DQ 23.8"", черный [90lm054s-b01370]",90LM054S-B01370,ASUS,Мониторы ЖК,VA24DQ,1828646
https://www.asus.com/Displays-Desktops/Monitors/Eye-Care/VA27DQ/techspec/,"Монитор ASUS VA27DQ 27"", черный [90lm06h3-b02370]",90LM06H3-B02370,ASUS,Мониторы ЖК,VA27DQ,1828648
https://www.asus.com/Displays-Desktops/Monitors/Eye-Care/VA27DCP/,"Монитор ASUS VA27DCP 27"", черный [90lm06h5-b01370]",90LM06H5-B01370,ASUS,Мониторы ЖК,VA27DCP,1828649
https://www.asus.com/Monitors/VA27DQSB/,"Монитор ASUS Gaming VA27DQSB 27"", черный [90lm06h1-b02370]",90LM06H1-B02370,ASUS,Мониторы ЖК,VA27DQSB,1828650
https://www.asus.com/Displays-Desktops/Monitors/Eye-Care/VA27DQSB-W/,"Монитор ASUS Gaming VA27DQSB-W 27"", белый и белый/голубой [90lm06h4-b02370]",90LM06H4-B02370,ASUS,Мониторы ЖК,VA27DQSB-W,1828652
http://www.asus.ua/Display/LCD_Monitors/VS197DE/#specifications,"Монитор ASUS VS197DE 18.5"", черный [90lmf1301t02201c-]",90LMF1301T02201C-,ASUS,Мониторы ЖК,VS197DE,1828677
https://www.asus.com/ru/Displays-Desktops/Monitors/Eye-Care/VY249HE/,"Монитор ASUS Gaming VY249HE 23.8"", черный [90lm06a0-b01h70]",90LM06A0-B01H70,ASUS,Мониторы ЖК,VY249HE,1828680
https://rog.asus.com/monitors/32-to-34-inches/rog-swift-pg329q-model/spec/,"Монитор ASUS ROG Swift PG329Q 32"", черный [90lm06l0-b01170]",90LM06L0-B01170,ASUS,Мониторы ЖК,PG329Q,1828683
https://rog.asus.com/monitors/27-to-31-5-inches/rog-strix-xg27uqr-model/,"Монитор ASUS Gaming XG27UQR 27"", черный [90lm05a0-b02370]",90LM05A0-B02370,ASUS,Мониторы ЖК,XG27UQR,1828685
https://rog.asus.com/monitors/27-to-31-5-inches/rog-strix-xg27aqm-model/,"Монитор ASUS ROG Strix XG27AQM 27"", черный [90lm06u5-b01370]",90LM06U5-B01370,ASUS,Мониторы ЖК,XG27AQM,1828686
https://rog.asus.com/monitors/27-to-31-5-inches/rog-strix-xg27aq-model/spec,"Монитор ASUS ROG Strix XG27AQ 27"", темно-серый и черный/красный [90lm06u0-b01370]",90LM06U0-B01370,ASUS,Мониторы ЖК,XG27AQ,1828687
https://rog.asus.com/ru/monitors/23-to-24-5-inches/rog-swift-360hz-pg259qnr-model/,"Монитор ASUS ROG Swift PG259QNR 24.5"", темно-серый и серебристый [90lm05q3-b01370]",90LM05Q3-B01370,ASUS,Мониторы ЖК,PG259QNR,1828688
https://rog.asus.com/ru/monitors/23-to-24-5-inches/rog-swift-360hz-pg259qn-model/,"Монитор ASUS ROG Swift PG259QN 24.5"", темно-серый и серебристый [90lm05q0-b01370]",90LM05Q0-B01370,ASUS,Мониторы ЖК,PG259QN,1828689
https://www.asus.com/ru/Displays-Desktops/Monitors/TUF-Gaming/TUF-Gaming-VG28UQL1A/,"Монитор ASUS TUF Gaming VG28UQL1A 28"", черный [90lm0780-b01170]",90LM0780-B01170,ASUS,Мониторы ЖК,VG28UQL1A,1828691
https://www.asus.com/Displays-Desktops/Monitors/Eye-Care/TUF-Gaming-VG27AQL1A,"Монитор ASUS TUF Gaming VG27AQL1A 27"", черный [90lm05z0-b01370]",90LM05Z0-B01370,ASUS,Мониторы ЖК,VG27AQL1A,1828694
https://www.asus.com/us/Monitors/TUF-GAMING-VG279QL1A/,"Монитор ASUS TUF Gaming VG279QL1A 27"", черный [90lm05x0-b02170]",90LM05X0-B02170,ASUS,Мониторы ЖК,VG279QL1A,1828706
https://www.asus.com/Monitors/TUF-GAMING-VG279Q1A/specifications/,"Монитор ASUS TUF Gaming VG279Q1A 27"", черный [90lm05x0-b05170]",90LM05X0-B05170,ASUS,Мониторы ЖК,VG279Q1A,1828707
https://www.asus.com/ru/Displays-Desktops/Monitors/TUF-Gaming/TUF-Gaming-VG259QM/techspec/,"Монитор ASUS VG259QM 24.5"", черный [90lm0530-b02370]",90LM0530-B02370,ASUS,Мониторы ЖК,VG259QM,1828708
https://www.asus.com/Monitors/TUF-Gaming-VG249Q1R/specifications/,"Монитор ASUS TUF Gaming VG249Q1R 23.8"", черный [90lm05v1-b01e70]",90LM05V1-B01E70,ASUS,Мониторы ЖК,VG249Q1R,1828711
https://www.asus.com/Displays-Desktops/Monitors/ProArt/ProArt-Display-PA329CV/,"Монитор ASUS ProArt PA329CV 32"", черный [90lm06p1-b01170]",90LM06P1-B01170,ASUS,Мониторы ЖК,PA329CV,1828712
https://www.asus.com/Displays-Desktops/Monitors/ProArt/ProArt-Display-PA329C/techspec/,"Монитор ASUS ProArt PA329C 32"", черный [90lm02cc-b02370]",90LM02CC-B02370,ASUS,Мониторы ЖК,PA329C,1828713
https://www.asus.com/ru/Displays-Desktops/Monitors/ProArt/ProArt-Display-PA279CV/techspec/,"Монитор ASUS ProArt PA279CV 27"", черный и белый [90lm06m1-b01170]",90LM06M1-B01170,ASUS,Мониторы ЖК,PA279CV,1828714
https://www.asus.com/Displays-Desktops/Monitors/ProArt/ProArt-Display-PA278CV/techspec/,"Монитор ASUS ProArt PA278CV 27"", черный [90lm06q1-b02370]",90LM06Q1-B02370,ASUS,Мониторы ЖК,PA278CV,1828715
https://www.asus.com/ru/Displays-Desktops/Monitors/ProArt/ProArt-Display-PA27AC/techspec/,"Монитор ASUS ProArt PA27AC 27"", черный [90lm02n0-b01370]",90LM02N0-B01370,ASUS,Мониторы ЖК,PA27AC,1828722
https://www.asus.com/Displays-Desktops/Monitors/ProArt/ProArt-Display-PA24AC/techspec/,"Монитор ASUS ProArt PA24AC 24"", черный [90lm04b0-b01370]",90LM04B0-B01370,ASUS,Мониторы ЖК,PA24AC,1828724
https://www.asus.com/ru/Displays-Desktops/Monitors/ProArt/ProArt-Display-PA248QV/techspec/,"Монитор ASUS ProArt PA248QV 24.1"", черный [90lm05k1-b01370]",90LM05K1-B01370,ASUS,Мониторы ЖК,PA248QV,1828725
https://www.asus.com/Displays-Desktops/Monitors/ProArt/ProArt-Display-PA247CV/,"Монитор ASUS ProArt PA247CV 23.8"", черный и серебристый [90lm03y1-b01370]",90LM03Y1-B01370,ASUS,Мониторы ЖК,PA247CV,1828727
https://rog.asus.com/monitors/27-to-31-5-inches/rog-strix-xg309cm-model/spec/,"Монитор ASUS ROG Strix XG309CM 29.5"", черный [90lm07n0-b01170]",90LM07N0-B01170,ASUS,Мониторы ЖК,XG309CM,1828729
https://hiper-corp.com/product/monitor-hiper-easyview-fh2416h-238-1920x1080/,"Монитор HIPER EasyView FH2416H 23.8"", черный",FH2416H,HIPER,Мониторы ЖК,FH2416H,1829372
https://hiper-corp.com/product/monitor-hiper-easyview-fh2716h-27-1920x1080/,"Монитор HIPER EasyView FH2716H 27"", черный",FH2716H,HIPER,Мониторы ЖК,FH2716H,1829383
https://hiper-corp.com/product/monitor-hiper-proview-qw27dqa-27-2560x1440/,"Монитор HIPER ProView QW27DQA 27"", черный",QW27DQA,HIPER,Мониторы ЖК,QW27DQA,1829385
https://hiper-corp.com/product/monitor-hiper-proview-qw24dfa-238-1920x1080/,"Монитор HIPER ProView QW24DFA 23.8"", черный [qw24-dfa-75]",QW24-DFA-75,HIPER,Мониторы ЖК,QW24DFA,1829388
https://hiper-corp.com/product/monitor-hiper-easyview-fh2203w-215-1920x1080/,"Монитор HIPER EasyView FH2203W 21.5"", белый",FH2203W,HIPER,Мониторы ЖК,FH2203W,1829394
https://hiper-corp.com/product/monitor-hiper-easyview-m2235a-215-1920x1080/,"Монитор HIPER EasyView M2235A 21.5"", черный [m2235a-60]",M2235A-60,HIPER,Мониторы ЖК,M2235A,1829402
https://www.lenovo.com/my/en/accessories-and-monitors/monitors/office/C24-20A20238FD023-8inch-Monitor-HDMI/p/62A8KAR1WW?orgRef=https%253A%252F%252Fyandex.ru%252F,"Монитор Lenovo ThinkVision C24-20 23.8"", черный [62a8kat1is]",62A8KAT1IS,LENOVO,Мониторы ЖК,C24-20,1829439
https://shop.lenovo.ru/product/62B6MAT3EU/spec/,"Монитор Lenovo ThinkVision E24-28 23.8"", черный [62b6mat3is]",62B6MAT3IS,LENOVO,Мониторы ЖК,E24-28,1829447
https://www.lenovo.com/my/en/accessories-and-monitors/monitors/office/68-58cm-C27-30D20270FD0-Monitor-HDMI/p/62AAKAR6WW,"Монитор Lenovo ThinkVision C27-30 27"", черный [62aakat6is]",62AAKAT6IS,LENOVO,Мониторы ЖК,C27-30,1829463
https://www.lenovo.com/ru/ru/monitors/t27i#,"Монитор Lenovo ThinkVision T27i-10 27"", черный [61c6mat1is]",61C6MAT1IS,LENOVO,Мониторы ЖК,T27i-10,1829471
https://www.asus.com/Displays-Desktops/Monitors/Eye-Care/VA24ECE/techspec/,"Монитор ASUS Gaming VA24ECE 23.8"", черный [90lm0563-b02170]",90LM0563-B02170,ASUS,Мониторы ЖК,VA24ECE,1829534
https://www.dell.com/en-us/shop/dell-27-monitor-p2722h/apd/210-bbck/monitors-monitor-accessories#techspecs_section,"Монитор DELL P2722H 27"", черный и серебристый [2722-5236]",2722-5236,DELL,Мониторы ЖК,P2722H,1829540
https://www.dell.com/en-us/shop/dell-24-monitor-s2421hn/apd/210-axhj/monitors-monitor-accessories,"Монитор DELL S2421HN 24"", черный и серебристый",S2421HN,DELL,Мониторы ЖК,S2421HN,1829542
https://eu.aoc.com/ru/products/monitor/q27v4ea/specification,"Монитор AOC Q27V4EA 27"", черный",Q27V4EA,AOC,Мониторы ЖК,Q27V4EA,1829749
https://hiper-corp.com/product/monitor-hiper-easyview-fh2701a-27-1920x1080/,"Монитор HIPER EasyView FH2701A 27"", черный",FH2701A,HIPER,Мониторы ЖК,FH2701A,1829993
https://www.philips.ru/c-p/242B1_00/business-monitor-lcd-monitor-with-powersensor,"Монитор Philips 242B1/00 23.8"", черный",242B1/00,PHILIPS,Мониторы ЖК,242B1/00,1830008
https://www.philips.ru/c-p/242B1H_00/lcd-monitor-with-windows-hello-webcam,"Монитор Philips 242B1H/00 23.8"", черный",242B1H/00,PHILIPS,Мониторы ЖК,242B1H/00,1830168
https://www.philips.ru/c-p/242B1TFL_00/open-frame-touch-screen-monitor,"Монитор Philips 242B1TFL/00 24"", черный",242B1TFL/00,PHILIPS,Мониторы ЖК,242B1TFL/00,1830169
https://www.philips.ru/c-p/242B9TL_00/monitor-lcd-monitor-with-smoothtouch,"Монитор Philips 242B9TL/00 23.8"", черный",242B9TL/00,PHILIPS,Мониторы ЖК,242B9TL/00,1830170
https://www.philips.ru/c-p/242B9TN_00/monitor-lcd-monitor-with-smoothtouch,"Монитор Philips 242B9TN/00 23.8"", черный",242B9TN/00,PHILIPS,Мониторы ЖК,242B9TN/00,1830171
https://www.philips.ru/c-p/240B9_00/lcd-monitor-with-powersensor,"Монитор Philips 240B9/00 24.1"", черный",240B9/00,PHILIPS,Мониторы ЖК,240B9/00,1830172
https://www.viewsonic.com/ru/products/lcd/VX2458-MHD,"Монитор ViewSonic VX2458-MHD 23.6"", черный и черный/красный [vs16263]",VS16263,VIEWSONIC,Мониторы ЖК,VX2458-MHD,1831610
https://hiper-corp.com/product/monitor-hiper-gaming-m34upa-34%e2%80%b3-3440x1440/,"Монитор HIPER Gaming M34UPA 34"", черный [m34-upa-144]",M34-UPA-144,HIPER,Мониторы ЖК,M34UPA,1832938
https://hiper-corp.com/product/monitor-hiper-gaming-jm28eui-28-3840x2160/,"Монитор HIPER Gaming JM28EUI 28"", черный [jm28-dui-144]",JM28-DUI-144,HIPER,Мониторы ЖК,JM28EUI,1832939
https://www.aopen.com/RU_ru/products_info/27HC5R/,"Монитор AOpen 27HC5RVbmiipx 27"", черный [um.hw5ee.v02]",UM.HW5EE.V02,AOPEN,Мониторы ЖК,27HC5RVbmiipx,1836263
https://www.aopen.com/RU_ru/products_info/22SA2Q,"Монитор AOpen 22SA2Qbi 21.5"", черный [um.ws2ee.q06]",UM.WS2EE.Q06,AOPEN,Мониторы ЖК,22SA2Qbi,1836281
https://www.aopen.com/RU_ru/products_info/24SA2Y,"Монитор AOpen 24SA2Ybi 23.8"", черный [um.qs2ee.y05]",UM.QS2EE.Y05,AOPEN,Мониторы ЖК,24SA2Ybi,1836297
https://www.asus.com/Displays-Desktops/Monitors/Eye-Care/VP228HE/,"Монитор ASUS VP228HE 21.5"", черный [90lm01k0-b05170]",90LM01K0-B05170,ASUS,Мониторы ЖК,VP228HE,1840748
https://www.asus.com/Displays-Desktops/Monitors/Eye-Care/VA247HE/,"Монитор ASUS VA247HE 23.8"", черный [90lm0795-b02170]",90LM0795-B02170,ASUS,Мониторы ЖК,VA247HE,1840757
https://www.asus.com/Monitors/VZ249HE/,"Монитор ASUS VZ249HE-W 23.8"", белый [90lm02q4-b01670]",90LM02Q4-B01670,ASUS,Мониторы ЖК,VZ249HE-W,1840760
https://www.asus.com/Displays-Desktops/Monitors/Eye-Care/VA24DQLB/techspec/,"Монитор ASUS VA24DQLB-W 23.8"", белый [90lm0548-b03370]",90LM0548-B03370,ASUS,Мониторы ЖК,VA24DQLB-W,1840772
https://www.asus.com/Displays-Desktops/Monitors/Eye-Care/VA24DQSB/techspec/,"Монитор ASUS VA24DQSB 23.8"", черный [90lm054l-b02370]",90LM054L-B02370,ASUS,Мониторы ЖК,VA24DQSB,1840773
https://www.asus.com/ru/displays-desktops/monitors/eye-care/va27aqsb/,"Монитор ASUS VA27AQSB 27"", черный [90lm06g0-b01170]",90LM06G0-B01170,ASUS,Мониторы ЖК,VA27AQSB,1840778
https://www.asus.com/Displays-Desktops/Monitors/TUF-Gaming/TUF-Gaming-VG27WQ1B/techspec/,"Монитор ASUS TUF Gaming VG27WQ1B 27"", черный [90lm0671-b01170]",90LM0671-B01170,ASUS,Мониторы ЖК,VG27WQ1B,1840782
https://www.asus.com/Displays-Desktops/Monitors/Eye-Care/VP299CL/techspec/,"Монитор ASUS VP299CL 29"", черный [90lm07h0-b01170]",90LM07H0-B01170,ASUS,Мониторы ЖК,VP299CL,1840787
https://www.asus.com/Displays-Desktops/Monitors/TUF-Gaming/TUF-Gaming-VG30VQL1A/techspec/,"Монитор ASUS TUF Gaming VG30VQL1A 29.5"", черный [90lm07q0-b01e70]",90LM07Q0-B01E70,ASUS,Мониторы ЖК,VG30VQL1A,1840795
https://www.lenovo.com/ru/ru/monitors/P24h-2L/?orgRef=https%253A%252F%252Fyandex.ru%252F#,"Монитор Lenovo ThinkVision P24h-2L 23.8"", черный [62b2gat1is]",62B2GAT1IS,LENOVO,Мониторы ЖК,P24h-2L,1841319
https://rog.asus.com/monitors/above-34-inches/rog-strix-xg49vq-model/,"Монитор ASUS TUF Gaming VG279QL1A 27"", черный [90lm05x0-b02170]",90LM05X0-B02170,ASUS,Мониторы ЖК,VG279QL1A,1842118
https://rog.asus.com/ru/monitors/above-34-inches/rog-strix-xg438qr-model/spec,"Монитор ASUS ROG Strix XG438QR 43"", черный [90lm04u0-b02170]",90LM04U0-B02170,ASUS,Мониторы ЖК,XG438QR,1842122
https://www.asus.com/ru/Displays-Desktops/Monitors/Eye-Care/VY249HE/,"Монитор ASUS Gaming VY249HE-W 23.8"", белый [90lm06a4-b02a70]",90LM06A4-B02A70,ASUS,Мониторы ЖК,VY249HE-W,1843687
https://www.tfk.ru/products/monitors/elitedisplay/9vf99aa-abb.html,"Монитор HP E24 G4 23.8"", черный и серебристый [9vf99aa]",9VF99AA,HP,Мониторы ЖК,E24 G4,1844146
https://www.tfk.ru/products/monitors/elitedisplay/9vf96aa-abb.html,"Монитор HP E23 G4 23"", черный и серебристый [9vf96aa]",9VF96AA,HP,Мониторы ЖК,E23 G4,1844164
https://www.tfk.ru/products/monitors/pro-series/1a7e4aa-abb.html,"Монитор HP P22 G4 21.5"", черный [1a7e4aa]",1A7E4AA,HP,Мониторы ЖК,P22 G4,1844177
https://www.tfk.ru/products/monitors/elitedisplay/9vg71aa-abb.html,"Монитор HP E27 G4 27"", черный [9vg71aa]",9VG71AA,HP,Мониторы ЖК,E27 G4,1844180
https://store.hp.com/us/en/pdp/hp-e24i-g4-wuxga-monitor,"Монитор HP E24i G4 24"", черный и серебристый [9vj40aa]",9VJ40AA,HP,Мониторы ЖК,E24i G4,1844184
https://www.hp.com/ru-ru/products/monitors/product-details/product-specifications/18165015,"Монитор HP Z38c 37.5"", черный [z4w65a4]",Z4W65A4,HP,Мониторы ЖК,Z38c,1845944
https://www.hp.com/ru-ru/monitors/product-details/product-specifications/31549505,"Монитор HP P24q G4 23.8"", черный [8mb10aa]",8MB10AA,HP,Мониторы ЖК,P24q G4,1845968
https://iiyama.com/ru_ru/produkty/prolite-xub2493hs-b4/,"Монитор Iiyama ProLite XUB2493HS-B4 23.8"", черный",XUB2493HS-B4,IIYAMA,Мониторы ЖК,XUB2493HS-B4,1849058
https://iiyama.com/ru_ru/produkty/prolite-xu2493hs-b4/,"Монитор Iiyama ProLite XU2493HS-B4 23.8"", черный",XU2493HS-B4,IIYAMA,Мониторы ЖК,XU2493HS-B4,1849091
https://iiyama.com/ru_ru/produkty/prolite-xub2792qsu-b1/,"Монитор Iiyama XUB2792QSU-B1 27"", черный",XUB2792QSU-B1,IIYAMA,Мониторы ЖК,XUB2792QSU-B1,1849097
https://iiyama.com/ru_ru/produkty/g-master-gb3461wqsu-b1/,"Монитор Iiyama Red Eagle GB3461WQSU-B1 34"", черный",GB3461WQSU-B1,IIYAMA,Мониторы ЖК,GB3461WQSU-B1,1849112
https://iiyama.com/ru_ru/produkty/g-master-gb2466hsu-b1/,"Монитор Iiyama Red Eagle GB2466HSU-B1 23.6"", черный",GB2466HSU-B1,IIYAMA,Мониторы ЖК,GB2466HSU-B1,1849131
https://www.dell.com/en-uk/shop/dell-27-usb-c-hub-monitor-p2722he/apd/210-azzb/monitors-monitor-accessories#techspecs_section,"Монитор DELL P2722HE 27"", черный и серебристый [2722-5250]",2722-5250,DELL,Мониторы ЖК,P2722HE,1852032
https://www.dell.com/en-us/shop/dell-34-curved-gaming-monitor-s3422dwg/apd/210-azep/monitors-monitor-accessories,"Монитор DELL S3422DWG 34"", черный [3422-4963]",3422-4963,DELL,Мониторы ЖК,S3422DWG,1852036
https://www.dell.com/en-us/shop/dell-27-video-conferencing-monitor-s2722dz/apd/210-bbqw/monitors-monitor-accessories,"Монитор DELL S2722DZ 27"", черный и серебристый [2722-7630]",2722-7630,DELL,Мониторы ЖК,S2722DZ,1852038
https://www.displayspecifications.com/ru/model/0e9a2a19,"Монитор DELL G2722HS 27"", черный [210-bdpo]",210-BDPO,DELL,Мониторы ЖК,G2722HS,1852087
https://www.acer.com/ru-ru/monitors/business/cb2/pdp/UM.TB2EE.001,"Монитор Acer CB382CURbmiiphuzx 37.5"", черный [um.tb2ee.001]",UM.TB2EE.001,ACER,Мониторы ЖК,CB382CURbmiiphuzx,1853019
https://aspirestore.ru/product/UM.QX3EE.A01/harakteristiki/,"Монитор Acer K243YAbmix 23.8"", черный [um.qx3ee.a01]",UM.QX3EE.A01,ACER,Мониторы ЖК,K243YAbmix,1853022
https://www.acer.com/gb-en/monitors/gaming/nitro-xv2/pdp/UM.HX2EE.V08,"Монитор Acer Nitro XV272UKVbmiiprzx 27"", черный [um.hx2ee.v08]",UM.HX2EE.V08,ACER,Мониторы ЖК,XV272UKVbmiiprzx,1853202
https://aspirestore.ru/product/UM.HV7EE.040/,"Монитор Acer V277bipv 27"", черный [um.hv7ee.040]",UM.HV7EE.040,ACER,Мониторы ЖК,V277bipv,1853206
https://aspirestore.ru/product/UM.HE3EE.P11/,"Монитор Acer ED273Pbmiipx 27"", черный [um.he3ee.p11]",UM.HE3EE.P11,ACER,Мониторы ЖК,ED273Pbmiipx,1853216
https://ac-russia.com.ru/27-monitor-acer-nitro-xz272uvbmiiphx-umhx0eev01/,"Монитор Acer Nitro XZ272UVbmiiphx 27"", черный и черный/красный [um.hx0ee.v01]",UM.HX0EE.V01,ACER,Мониторы ЖК,XZ272UVbmiiphx,1853232
https://www.acer.com/si-en/monitors/gaming/nitro-ed3/pdp/UM.HE3EE.B01,"Монитор Acer ED273Bbmiix 27"", черный [um.he3ee.b01]",UM.HE3EE.B01,ACER,Мониторы ЖК,ED273Bbmiix,1853293
https://www.acer.com/at-de/monitors/business/bc0/pdp/UM.HB0EE.023,"Монитор Acer ProDesigner BC270Ubmiiphzx 27"", черный [um.hb0ee.023]",UM.HB0EE.023,ACER,Мониторы ЖК,BC270Ubmiiphzx,1853300
https://www.asus.com/Displays-Desktops/Monitors/TUF-Gaming/TUF-Gaming-VG258QM/,"Монитор ASUS TUF Gaming VG258QM 24.5"", черный [90lm0450-b02370]",90LM0450-B02370,ASUS,Мониторы ЖК,VG258QM,1853710
https://www.asus.com/Displays-Desktops/Monitors/TUF-Gaming/TUF-Gaming-VG289Q1A/techspec/,"Монитор ASUS TUF Gaming VG289Q1A 28"", черный [90lm05b0-b04170]",90LM05B0-B04170,ASUS,Мониторы ЖК,VG289Q1A,1853717
https://www.asus.com/Displays-Desktops/Monitors/TUF-Gaming/TUF-Gaming-VG289Q/techspec/,"Монитор ASUS TUF Gaming VG289Q 28"", черный [90lm05b0-b01170]",90LM05B0-B01170,ASUS,Мониторы ЖК,VG289Q,1853718
https://www.asus.com/Displays-Desktops/Monitors/Eye-Care/VP32AQ/,"Монитор ASUS Gaming VP32AQ 31.5"", черный [90lm06t0-b01e70]",90LM06T0-B01E70,ASUS,Мониторы ЖК,VP32AQ,1853720
https://www.asus.com/us/Displays-Desktops/Monitors/TUF-Gaming/TUF-Gaming-VG34VQL1B/techspec,"Монитор ASUS TUF Gaming VG34VQL1B 34"", темно-серый [90lm06f0-b01170]",90LM06F0-B01170,ASUS,Мониторы ЖК,VG34VQL1B,1853725
